#{"t_start": 1662329308.1141858, "env_id": null}
r,l,t
-5399.807244,61,56.43193
-4499.644868,52,56.533659
-1499.755988,22,56.585521
-2299.773804,30,56.63838
-3199.621684,39,56.712182
-2799.795704,35,56.765041
-4499.812252,52,56.875744
-1799.807404,25,56.915638
-2799.681464,35,56.970494
-2899.936868,36,57.03532
-2099.980276,27,57.099149
-599.890036,13,57.125079
-2799.867708,35,57.173948
-8299.632244,90,57.314571
-9999.651968,107,57.486113
-3799.617096,45,57.565899
-1199.608596,19,57.609783
-2099.813552,28,57.65167
-4199.905796,49,57.713507
-2799.936212,35,57.773346
-3599.8374,43,57.848165
-4399.596444,51,57.931921
-4899.647768,56,58.014702
-1599.840028,23,58.043625
-2399.61684,31,58.099473
-2199.809296,29,58.159316
-1699.797924,24,58.204195
-3499.911264,42,58.276004
-2799.791808,35,58.330854
-3499.751084,42,58.407649
-3599.76062,43,58.483447
-1999.56328,27,58.52334
-3999.7251,47,58.613102
-1199.848512,19,58.650004
-2499.908724,32,58.708845
-4199.815288,49,58.787633
-2699.8792,34,58.846478
