#{"t_start": 1666814621.1547022, "env_id": null}
r,l,t
-6319.998308,639,1302.702477
-8899.9977,898,1309.067458
-5339.99829,541,1312.926209
-6039.998015,612,1317.353666
-6119.997877,620,1321.879565
-4549.997991,463,1325.210656
-3309.998123,338,1327.662029
-4999.998049,507,1331.28861
-3149.998223,321,1333.627921
-4709.998244,478,1337.11421
-3859.997992,394,1339.92099
-4529.998037,460,1343.222494
-12879.998145,1296,1352.567842
-1659.997886,174,1353.845863
-2219.997586,230,1355.565543
-3359.998035,344,1358.027107
-1999.99782,208,1359.528492
-5059.997815,514,1363.276654
-1339.997799,142,1364.315382
-6709.997712,679,1369.219709
-3629.997551,371,1371.914865
-4419.997857,450,1375.1488
-4169.997324,425,1378.2366
-3149.997692,323,1380.587582
-5269.997861,535,1384.459498
-6309.998162,639,1389.189789
-9179.99823,925,1395.928087
-3679.997795,376,1398.662958
-2749.997425,283,1400.687542
-3349.997967,343,1403.152389
-1439.997594,152,1404.238366
-1899.997816,198,1405.684141
-279.997145,36,1405.945611
-29.997531,11,1406.028083
-1659.997654,174,1407.248752
-1099.997464,118,1408.131233
-3479.997359,356,1410.706446
-4229.997544,431,1413.800229
-4299.997398,438,1416.925855
-4179.997594,426,1420.036299
-2789.997731,286,1422.094556
-1539.997494,162,1423.268179
-3279.997548,336,1425.708409
-899.997415,98,1426.427855
-2089.997725,217,1427.99961
-6569.997783,665,1432.757957
-3239.997925,332,1435.121281
-3529.997493,361,1437.733023
-2319.998444,238,1439.524977
-6639.998614,670,1444.333664
-1509.99816,158,1445.50281
-3769.997847,385,1448.302109
-1829.997754,191,1449.702517
-2249.997983,233,1451.436203
-4129.997562,421,1454.516756
-1699.998186,177,1455.800268
-1229.997774,131,1456.736218
-1699.997671,178,1458.06454
-849.997763,93,1458.752843
-3979.997994,406,1461.711314
-3009.997578,309,1463.956939
-8089.998129,816,1469.838152
-2919.998172,298,1471.973425
-7659.99831,773,1477.623117
-7189.998417,726,1484.164471
-4159.997704,424,1487.256861
-10369.998227,1044,1494.695595
-9129.998531,919,1501.344538
-5379.998141,546,1505.343155
-6949.998114,702,1510.450777
-4949.99765,503,1514.158702
-2449.997939,253,1515.983171
-1179.997301,126,1516.999191
-3239.997564,332,1519.414832
-6479.997927,656,1524.236139
-4339.997951,441,1527.465125
-849.998151,92,1528.138195
-5899.99822,598,1532.511609
