#{"t_start": 1667320887.616259, "env_id": null}
r,l,t
-164.361971,25,498.194295
-364.311286,45,498.501988
-1812.20896,190,499.780375
-232.617187,32,500.000004
-144.141821,23,500.1636
-154.291846,24,500.344679
-73.443776,16,500.462579
-144.299969,23,500.62593
-264.650659,35,500.870698
-224.132732,31,501.088613
-214.195529,30,501.309975
-424.96775,51,501.658108
-204.955996,29,501.865443
-404.708343,49,502.19849
-225.033495,31,502.427799
-244.642156,33,502.65506
-163.13627,25,502.829296
-254.169077,34,503.060867
-354.926758,44,503.374931
-423.999738,51,503.713457
-2514.091027,260,505.49829
-493.727388,58,505.896752
-614.243884,70,506.394397
-923.895212,101,507.097058
-3444.196116,353,509.487601
-654.396819,74,509.991593
-1314.717264,140,510.947909
-204.455661,29,511.145889
-324.151392,41,511.44839
-234.938183,32,511.663576
-364.954097,45,511.970396
-154.176087,24,512.133416
-94.18383,18,512.2649
-244.212278,33,512.505821
-124.184727,21,512.645934
-284.11027,37,512.909877
-214.156068,30,513.121925
-204.194067,29,513.3366
-174.134528,26,513.516903
-234.182978,32,513.741191
-174.308266,26,513.934652
-344.266537,43,514.234028
-154.740844,24,514.414386
-124.359623,21,514.580576
-144.339328,23,514.738508
-213.784891,30,514.958331
-772.329778,86,515.5865
-23.503177,9,515.652561
-123.0,19,515.791129
-153.0,22,515.9437
-1183.87636,127,516.833872
-113.528089,18,516.956595
-253.212694,32,517.178877
-193.539581,28,517.373109
-223.956512,31,517.592267
-444.002686,53,517.95832
-202.023604,29,518.160804
-713.642935,80,518.843298
-363.090373,45,519.152589
-742.492075,83,519.730657
-373.272367,46,520.052762
-682.937243,77,520.58395
-334.192739,42,520.866347
-382.755703,46,521.174541
-543.328999,63,521.605674
-134.098149,22,521.747785
-103.989605,19,521.88086
-113.836146,20,522.016061
-292.92662,37,522.2704
-144.340486,23,522.426057
-293.859923,38,522.691203
-114.34255,20,522.823823
-244.3189,33,523.047046
-63.777385,15,523.151167
-154.503477,24,523.319034
-263.03401,35,523.557645
-163.469913,25,523.738362
-274.289673,36,523.978956
-104.348457,19,524.124218
-263.85623,35,524.357735
-93.262425,17,524.479154
-324.364954,41,524.763775
-234.278151,32,524.979807
-174.326287,26,525.155143
-163.74667,25,525.34607
-164.273995,25,525.513274
-334.366383,42,525.808343
-213.942577,30,526.00787
-273.886223,36,526.272863
-94.249047,18,526.395459
-104.348432,19,526.531189
-274.760636,36,526.784311
-303.156836,39,527.063513
-314.355814,40,527.352327
-252.506096,34,527.599101
-183.0,25,527.779798
-203.0,27,527.96545
-13.171897,9,528.025789
-323.0,39,528.300333
-203.481105,29,528.497906
-142.894348,22,528.659063
-83.0,15,528.770385
-353.0,42,529.063689
-303.0,37,529.330201
-84.980097,17,529.454424
-123.0,19,529.583779
